player hand sum;dealers card;usable ace;stick;hit
9;8;0;-0.565631070182667;-0.95601953488896
9;8;1;0;0
9;9;0;-0.9825308390704752;-0.9855884811924144
9;9;1;0;0
9;10;0;-1.0356864850997132;-0.9999999998370371
9;10;1;0;0
10;1;0;-1.1118503717994612;-0.95601953488896
10;1;1;0;0
10;2;0;-1.0072713164008822;-0.9884707849539315
10;2;1;0;0
10;3;0;0.18809765594799535;-0.488
10;3;1;0;0
10;4;0;-0.44389935214673104;-0.488
10;4;1;0;0
10;5;0;0.7707697007131213;-0.2
10;5;1;0;0
10;6;0;-1.0517729786482113;-0.9984525749508932
10;6;1;0;0
10;7;0;-1.1130744538258432;-0.9940970418964129
10;7;1;0;0
10;8;0;-1.0213507375919146;-0.9962221068137043
10;8;1;0;0
10;9;0;-0.9607920320000001;-0.9648156279111679
10;9;1;0;0
10;10;0;-1.147515024857207;-0.999999999916563
10;10;1;0;0
11;1;0;-1.148198412304939;-0.9907766279631451
11;1;1;0;0
11;2;0;-1.1554676172397569;-0.9975821483607707
11;2;1;0;0
11;3;0;-0.017598651984273683;-0.865782272
11;3;1;0;0
11;4;0;-1.0262959989049794;-0.9855884811924144
11;4;1;0;0
11;5;0;0.6757241007832445;-0.36000000000000004
11;5;1;0;0
11;6;0;-0.9507439772482147;-0.9450244186112
11;6;1;0;0
11;7;0;-0.7241950552292593;-0.7378560000000001
11;7;1;0;0
11;8;0;-1.09159386520064;-0.9980657186886166
11;8;1;0;0
11;9;0;-1.14157619136;-0.9992077183748573
11;9;1;0;0
11;10;0;-1.0495414736406155;-0.9999999999999577
11;10;1;0;0
12;1;0;-1.097148963268622;-0.9999941539934507
12;1;1;-0.396;-0.2
12;2;0;-1.1083709376000002;-0.9999962585558084
12;2;1;-0.20392000000000002;-0.2
12;3;0;0.1621278133790751;-0.8926258176
12;3;1;-0.41660352;-0.488
12;4;0;-1.0381104594077293;-0.9999962585558084
12;4;1;0.38431840000000006;0
12;5;0;-1.0108159226364193;-0.9999564438570341
12;5;1;-0.2;0
12;6;0;-1.0858862842923818;-0.9999455548212925
12;6;1;-0.0040000000000000036;0
12;7;0;-1.0828508589424697;-0.9999319435266157
12;7;1;-0.5687920320000001;-0.5904
12;8;0;-1.120541373092056;-0.9998670772004215
12;8;1;-0.2;-0.2
12;9;0;-1.2365278914372473;-0.9999976054757174
12;9;1;-0.58808;-0.488
12;10;0;-1.0571734635216576;-0.9999999999999998
12;10;1;-0.9607920320000001;-0.7902848
13;1;0;-1.0528761150690689;-0.9999970068446468
13;1;1;-0.7763184000000001;-0.5904
13;2;0;-1.0902649229984067;-0.9999564438570341
13;2;1;-0.39615212736000005;-0.36000000000000004
13;3;0;-1.0142573805270425;-0.9999908656147667
13;3;1;0.0006087578365439883;-0.36000000000000004
13;4;0;-0.7225877105382673;-0.9718525023289344
13;4;1;-0.20768476800000005;-0.36000000000000004
13;5;0;-1.1001477010267378;-0.9999564438570341
13;5;1;0.735859458091817;-0.2
13;6;0;-1.1365026845742943;-0.9999962585558084
13;6;1;-0.19184476800000003;-0.488
13;7;0;-1.0043718763358522;-0.9987620599607145
13;7;1;-0.7763184000000001;-0.7378560000000001
13;8;0;-1.2462980722688002;-0.9999987740035673
13;8;1;-0.576632032;-0.488
13;9;0;-1.0061318054224724;-0.9999941539934507
13;9;1;-0.38431840000000006;-0.488
13;10;0;-1.3032158756441108;-0.9999999999999998
13;10;1;-1.1541907065916144;-0.9952776335171303
14;1;0;-1.1158929741821442;-0.9999885820184583
14;1;1;-0.396;-0.2
14;2;0;-1.2001740628003317;-0.9999455548212925
14;2;1;0.025883553239756912;-0.488
14;3;0;-1.0378173360910423;-0.9990096479685716
14;3;1;-0.5964831825307648;-0.488
14;4;0;-1.1593215763164182;-0.9969776854509634
14;4;1;-0.3290782848253457;-0.5904
14;5;0;-1.126657382166097;-0.9997923081256586
14;5;1;-0.052737489817855976;-0.2
14;6;0;-1.0599517062348802;-0.9999651550856272
14;6;1;-0.36864276088345604;-0.5904
14;7;0;-1.0650402878738432;-0.9999564438570341
14;7;1;-0.7763184000000001;-0.7378560000000001
14;8;0;-1.0540408811353124;-0.9997923081256586
14;8;1;-0.6736772711552002;-0.5904
14;9;0;-1.126772798284952;-0.9997923081256586
14;9;1;-0.7763184000000001;-0.7902848
14;10;0;-1.4371411787558555;-0.9999999999999998
14;10;1;-1.0860080985608718;-0.9855884811924144
15;1;0;-1.0761646671245313;-0.9999319435266157
15;1;1;-0.7763184000000001;-0.7378560000000001
15;2;0;-1.1119520759483326;-0.9994929397599087
15;2;1;-0.769085557836544;-0.67232
15;3;0;-1.131621677830731;-0.9993661746998859
15;3;1;-0.58808;-0.488
15;4;0;-1.1278620579634695;-0.9997923081256586
15;4;1;-0.01568159999999999;-0.2
15;5;0;-1.0903616543442012;-0.9999149294082696
15;5;1;0.1886995488128;-0.2
15;6;0;-1.0821034505670306;-0.9992077183748573
15;6;1;0.20768476800000005;-0.2
15;7;0;-1.1146896689521986;-0.9774820018631475
15;7;1;-0.21536796800000002;-0.36000000000000004
15;8;0;-1.1308014554621442;-0.9999776992548014
15;8;1;-0.019371072639999987;-0.2
15;9;0;-1.1898460156057862;-0.9999564438570341
15;9;1;-0.384925557836544;-0.488
15;10;0;-1.4617223184177417;-0.9999999999999998
15;10;1;-1.0454842884886613;-0.9992077183748573
16;1;0;-1.2906668797026346;-0.9998670772004215
16;1;1;-0.58808;-0.488
16;2;0;-0.9497353076739835;-0.9907766279631451
16;2;1;-0.3921584;-0.36000000000000004
16;3;0;-1.0660731784355841;-0.9999564438570341
16;3;1;-0.36187282183654407;-0.5904
16;4;0;-0.986389341084528;-0.9855884811924144
16;4;1;-0.576632032;-0.5904
16;5;0;-0.9622253945527183;-0.7902848
16;5;1;-0.396;-0.2
16;6;0;-0.5681484278132714;-0.7902848
16;6;1;-0.20768476800000005;-0.36000000000000004
16;7;0;-1.3970167244337373;-0.9999651550856272
16;7;1;-0.5918447680000001;-0.488
16;8;0;-1.0403370621184;-0.9999721240685018
16;8;1;-0.7763184000000001;-0.67232
16;9;0;-0.5222288035104368;-0.7902848
16;9;1;-0.7763184000000001;-0.67232
16;10;0;-1.0385265417477632;-0.9999999999999998
16;10;1;-1.008050725013985;-0.9969776854509634
17;1;0;-1.1007525989101963;-0.9926213023705162
17;1;1;-0.1733206035328;-0.488
17;2;0;0.24205452583236164;-0.488
17;2;1;1.428155090926241;-0.2
17;3;0;-0.5776713770587116;-0.488
17;3;1;-0.38431840000000006;-0.488
17;4;0;-0.3247905873989476;-0.36000000000000004
17;4;1;-0.0040000000000000036;-0.2
17;5;0;-0.6183891018738964;-0.9969776854509634
17;5;1;-0.007841600000000032;-0.2
17;6;0;0.7589343265347797;-0.488
17;6;1;-0.38808000000000004;-0.488
17;7;0;-0.7206571598331963;-0.7378560000000001
17;7;1;-0.78000787264;-0.7378560000000001
17;8;0;-1.240990407660544;-0.9998338465005269
17;8;1;-0.3998416;-0.488
17;9;0;-1.109685865648896;-0.9998338465005269
17;9;1;-0.7732003794584924;-0.5904
17;10;0;-1.1811596266415572;-0.9999999999999729
17;10;1;-1.151737125499951;-0.9999455548212925
18;1;0;-0.8732385790210236;-0.8926258176
18;1;1;-0.58808;-0.5904
18;2;0;1.3901456518860404;-0.2
18;2;1;0.690774978778931;0
18;3;0;1.0535836158516512;-0.36000000000000004
18;3;1;0.754324655462144;0
18;4;0;1.1768396677501873;-0.36000000000000004
18;4;1;-0.18010453413298683;-0.488
18;5;0;1.4479816397764906;-0.36000000000000004
18;5;1;0.1406220869202971;-0.2
18;6;0;1.9656624498810091;0
18;6;1;0.17508314510197562;-0.2
18;7;0;1.3416962288954641;-0.2
18;7;1;-0.2015368479638213;-0.5904
18;8;0;0.8968278080689601;-0.488
18;8;1;0.18020474978819173;-0.2
18;9;0;-1.059517200262889;-0.95601953488896
18;9;1;-0.37631840000000005;-0.5904
18;10;0;-1.042639819353732;-0.9999999999999998
18;10;1;-1.0367062038700205;-0.9855884811924144
19;1;0;-0.04336773843479474;-0.7378560000000001
19;1;1;-0.018477494253783144;-0.2
19;2;0;1.4543572064342827;-0.5904
19;2;1;0.14060075846584322;0
19;3;0;2.4829705995543483;0
19;3;1;0.94949619136;0
19;4;0;1.6831505968127147;-0.2
19;4;1;-0.007764768000000005;-0.2
19;5;0;2.0142943206952655;-0.2
19;5;1;2.026382449225113;-0.2
19;6;0;2.883350563707845;-0.2
19;6;1;0.9785009094022568;-0.36000000000000004
19;7;0;2.694925903452231;-0.2
19;7;1;0.8940455786985013;0
19;8;0;3.275919558916715;-0.2
19;8;1;1.0663032257999399;0
19;9;0;0.1740366544020072;-0.488
19;9;1;-0.4031499238272;-0.36000000000000004
19;10;0;-1.0119647466833777;-0.9999999999781275
19;10;1;-1.0718421443452137;-0.981985601490518
20;1;0;1.0250032625836347;-0.67232
20;1;1;0.019060608640000032;-0.488
20;2;0;4.278120516594942;-0.488
20;2;1;1.1092298721295872;0
20;3;0;5.8013500280918056;-0.2
